Names,Bay,Month,MoYr,Monitoring_Period,NumberDays,Quadrat,Habitat,Stage,Tag,Tracking_Period,Lat,Long,Surv,Surv_Consolidated,Condition,PercChgOverallByDays,PercentChangeHeightOverall,ChangeHeightOverall,PercChgPeriodByDays,PercentChangeHeightBtwPeriods,ChangeHeightBtwPeriods,Height,Water_Depth,Hypo_Color,Branches,Nodes_ms,Leaves_ms,Nodes_br,Leaves_br,Photo,NOTES
LU,Water,February,24-Feb,4,174,U2,debris,Seedling,469,Quaternary,18.347923,-64.690319,A,A,H,0,0,0,0,0,0,20.6,0,B,0,4,5,0,0,Y,PLANTED?
LU,Otter,August,23-Aug,3,143,S1,fringe,Seedling,238,Tertiary,18.399828,64.691048,A,A,H,0,0,0,0,0,0,20.8,28,G,0,0,0,0,0,Y,
"AJH, LU, AND, KWG",Water,January,23-Jan,1,0,S1,fringe,Seedling,513,Primary,18.350259,-64.684177,A,A,H,0,0,0,0,0,0,21,4,G,0,2,4,0,0,,HERB
LU,Water,April,23-Apr,2,69,U3,debris,Seedling,162,Secondary,18.345204,-64.690679,A,A,H,0,0,0,0,0,0,21,0,G,0,0,0,0,0,Y,UNDER DEBRIS
LU,Otter,February,24-Feb,4,174,S1,fringe,Seedling,498,Quaternary,18.349758,-64.691061,A,A,H,0,0,0,0,0,0,21,0,G,0,1,2,0,0,Y,
LU,Water,April,23-Apr,2,69,U1,debris,Seedling,471,Secondary,18.350015,-64.689327,A,A,H,0,0,0,0,0,0,21.6,0,G,0,2,2,0,0,Y,
LU,Water,April,23-Apr,2,69,U2,debris,Seedling,190,Primary,18.347904,-64.690302,A,A,H,0.132753623,9.16,-2.4,-0.132758048,-9.160305344,-2.4,23.8,0,G,0,2,2,0,0,Y,DECAP (FROM HERBIVORY/BROWSE)
LU,Water,August,23-Aug,3,143,U1,debris,Seedling,584,Primary,18.34999,-64.689279,A,A,W,-0.038243007,-5.46875,-1.4,-0.160349205,-22.92993631,-7.2,24.2,17,G,1,2,0,1,2,Y,MSD
LU,Water,August,23-Aug,3,143,U2,debris,Seedling,190,Primary,18.347904,-64.690302,A,A,H,-0.042705386,-6.106870229,-1.6,0.021352693,3.053435115,0.8,24.6,1.6,YG,1,2,1,2,3,Y,MS dying/decap
LU,Water,February,24-Feb,4,174,U1,debris,Seedling,465,Secondary,18.349968,-64.689284,A,A,W,-0.07183908,-12.5,-3.6,-0.038314176,-6.666666667,-1.8,25.2,0,Y,1,3,0,4,4,Y,MSD FROM BROWSE
"AJH, LU, AND, KWG",Water,January,23-Jan,1,0,U1,debris,Seedling,584,Primary,18.34999,-64.689279,A,A,H,0,0,0,0,0,0,25.6,13,G,0,2,4,0,0,,
LU,Water,January,23-Jan,1,0,U2,debris,Seedling,190,Primary,18.347904,-64.690302,A,A,H,0,0,0,0,0,0,26.2,0,G,0,3,6,0,0,Y,GROWING OUT OF ROCKY SUB
"LU, AD, KH",Otter,January,23-Jan,1,0,S1,fringe,Seedling,126,Primary,18.349735,-64.691077,A,A,H,0,0,0,0,0,0,27,116,G,0,1,2,0,0,Y,IN BENTHIC QUADRAT
LU,Water,August,23-Aug,3,143,U1,debris,Seedling,465,Secondary,18.349968,-64.689284,A,A,W,-0.043706294,-6.25,-1.8,-0.043706294,-6.25,-1.8,27,23,G,1,1,0,1,0,Y,
LU,Water,February,24-Feb,4,174,S1,fringe,Seedling,166,Tertiary,18.350272,64.689162,A,A,W,0.510409131,88.81118881,12.7,0.510409131,88.81118881,12.7,27,0,G,0,1,0,0,0,Y,BROWSE
"AJH, LU, AND, KWG",Otter,January,23-Jan,1,0,S1,fringe,Seedling,596,Primary,18.349744,-64.691086,A,A,H,0,0,0,0,0,0,27.7,9,G,NA,NA,NA,0,0,,NO PLUMMULE
LU,Water,April,23-Apr,2,69,S3,fringe,Seedling,195,Secondary,18.345543,-64.692566,A,A,H,0,0,0,0,0,0,28.4,1,G,0,0,0,0,0,Y,MSD
LU,Water,April,23-Apr,2,69,U1,debris,Seedling,465,Secondary,18.349968,-64.689284,DY,A,W,0,0,0,0,0,0,28.8,0,G,0,1,0,NA,NA,Y,HEAVY HERBIVORY (DEER BROWSE?)
LU,Water,April,23-Apr,2,69,U1,debris,Seedling,584,Primary,18.34999,-64.689279,A,A,H,0.328347826,22.656,5.8,0.328351449,22.65625,5.8,31.4,0,G,0,3,6,0,0,Y,
LU,Water,January,23-Jan,1,0,U3,debris,Seedling,178,Primary,18.3452,-64.69072,A,A,H,0,0,0,0,0,0,31.5,7,G,0,3,3,0,0,Y,INSECT BITES
LU,Water,February,24-Feb,4,174,U2,debris,Seedling,190,Primary,18.347904,-64.690302,A,A,H,0.118452224,20.61068702,5.4,0.163536118,28.45528455,7,31.6,0,Y,1,2,0,4,7,Y,
LU,Water,February,24-Feb,4,174,S3,fringe,Seedling,456,Quaternary,18.345579,-64.692594,A,A,W,0,0,0,0,0,0,31.8,0,G,0,0,0,0,0,Y,BROWSE
LU,Otter,February,24-Feb,4,174,S1,fringe,Seedling,167,Tertiary,18.39986,64.691064,A,A,W,0.427109195,74.317,13.6,0.42710885,74.31693989,13.6,31.9,0.3,YG,0,2,1,0,0,Y,BROWSE
"AJH, LU, AND, KWG",Water,January,23-Jan,1,0,U3,debris,Seedling,597,Primary,18.345196,-64.69076,A,A,H,0,0,0,0,0,0,32.5,26,G,0,4,5,0,0,,HERB (BITES)
"AJH, LU, AND, KWG",Otter,January,23-Jan,1,0,S1,fringe,Seedling,530,Primary,18.349731,-64.691111,A,A,H,0,0,0,0,0,0,33.6,7.5,G,0,2,4,0,0,,
LU,Water,February,24-Feb,4,174,S3,fringe,Seedling,483,Secondary,18.345588,-64.692545,A,A,W,-0.047764322,-8.310991957,-3.1,-0.030248034,-5.263157895,-1.9,34.2,0,GB,1,0,0,5,0,Y,BROWSE; DECAP
LU,Water,August,23-Aug,3,143,U1,debris,Seedling,583,Tertiary,18.350024,64.689202,A,A,W,0,0,0,0,0,0,34.6,45.5,G,1,0,0,1,2,Y,NEW! DECAP
LU,Water,February,24-Feb,4,174,U1,debris,Seedling,583,Tertiary,18.350024,64.689202,A,A,W,0,0,0,0,0,0,34.6,18.5,G,0,0,0,0,0,Y,MSD
LU,Otter,February,24-Feb,4,174,S2,fringe,Seedling,236,Tertiary,18.351293,64.690905,A,A,W,0.410511494,71.429,14.5,0.410509031,71.42857143,14.5,34.8,,YG,0,1,0,3,4,Y,BROWSE
LU,Water,August,23-Aug,3,143,S1,fringe,Seedling,582,Primary,18.350201,-64.689113,DY,A,W,-0.122255367,-17.48251748,-7.5,-0.074168256,-10.60606061,-4.2,35.4,30,GB,1,1,0,1,0,Y,
LU,Water,August,23-Aug,3,143,S3,fringe,Seedling,483,Secondary,18.345588,-64.692545,A,A,W,-0.02249761,-3.217158177,-1.2,-0.02249761,-3.217158177,-1.2,36.1,10,G,1,4,1,0,0,Y,"Herbivory, MSD"
LU,Water,April,23-Apr,2,69,U3,debris,Seedling,597,Primary,18.345196,-64.69076,A,A,H,0.209587514,14.46153846,4.7,0.209587514,14.46153846,4.7,37.2,2,G,0,5,4,0,0,Y,"HERBIVORY (BITES, OR MAYBE FUNGUS)"
LU,Water,April,23-Apr,2,69,S3,fringe,Seedling,483,Secondary,18.345588,-64.692545,A,A,H,0,0,0,0,0,0,37.3,0,G,0,4,7,0,0,Y,"FUNGUS ON LEAF, GROWING UNDERNEATH A ROCK"
LU,Water,April,23-Apr,2,69,S1,fringe,Seedling,582,Primary,18.350201,-64.689113,DY,A,W,-0.111478261,-7.692,-3.3,-0.11148272,-7.692307692,-3.3,39.6,9.5,B,1,1,0,5,0,Y,
LU,Otter,February,24-Feb,4,174,S1,fringe,Seedling,238,Tertiary,18.399828,64.691048,A,A,W,0.541557471,94.231,19.6,0.541556145,94.23076923,19.6,40.4,2,G,0,2,1,0,0,Y,BROWSE
LU,Otter,April,23-Apr,2,69,S1,fringe,Seedling,121,Primary,18.349702,-64.691088,A,A,W,-0.149925037,-10.34482759,-4.8,-0.149925037,-10.34482759,-4.8,41.6,3.75,BY,0,2,0,0,0,Y,
LU,Water,August,23-Aug,3,143,U1,debris,Seedling,433,Secondary,18.349985,-64.689303,A,A,W,-0.011517483,-1.647,-0.7,-0.011517894,-1.647058824,-0.7,41.8,20,YG,1,3,0,1,0,Y,
LU,Water,April,23-Apr,2,69,U1,debris,Seedling,433,Secondary,18.349985,-64.689303,DY,A,W,0,0,0,0,0,0,42.5,0,Y,1,3,0,2,0,Y,
LU,Water,January,23-Jan,1,0,S2,fringe,Seedling,176,Primary,18.3481,-64.689844,A,A,H,0,0,0,0,0,0,42.7,1,G,0,3,6,0,0,Y,
"AJH, LU, AND, KWG",Water,January,23-Jan,1,0,S1,fringe,Seedling,582,Primary,18.350201,-64.689113,A,A,W,0,0,0,0,0,0,42.9,29,G,2,1,0,5,0,,
LU,Water,April,23-Apr,2,69,S1,fringe,Seedling,585,Primary,18.350245,-64.689141,DY,A,W,-0.006289855,-0.434,-0.2,-0.006287529,-0.433839479,-0.2,45.9,9.83,B,0,4,0,0,0,Y,GALLS ON NODES
"AJH, LU, AND, KWG",Water,January,23-Jan,1,0,S1,fringe,Seedling,585,Primary,18.350245,-64.689141,A,A,W,0,0,0,0,0,0,46.1,28,G,0,1,0,0,0,,
"AJH, LU, AND, KWG",Otter,January,23-Jan,1,0,S1,fringe,Seedling,121,Primary,18.349702,-64.691088,A,A,H,0,0,0,0,0,0,46.4,25,G,1,2,0,3,4,,PREV TAGGED
LU,Otter,August,23-Aug,3,143,U1,debris,Seedling,532,Primary,18.34942,-64.692474,A,A,H,-0.010262274,-1.467505241,-0.7,-0.040640722,-5.811623246,-2.9,47,28,B,2,25,8,17,13,Y,HERBIVORY- DEER?GOAT? OLD DECAP
"AJH, LU, AND, KWG",Otter,January,23-Jan,1,0,U1,debris,Seedling,532,Primary,18.34942,-64.692474,A,A,H,0,0,0,0,0,0,47.7,14,G,4,19,0,11,17,,HERB
LU,Otter,April,23-Apr,2,69,U1,debris,Seedling,532,Primary,18.34942,-64.692474,A,A,H,0.06684058,4.612,2.2,0.066842889,4.612159329,2.2,49.9,3,B,2,27,7,17,23,Y,NO NEW MANGS AT QUAD
LU,Water,January,23-Jan,1,0,S3,fringe,Sapling,170,Primary,18.345567,-64.692527,A,A,H,0,0,0,0,0,0,54.3,4,B,0,22,11,0,0,Y,INSECT BITES
LU,Water,April,23-Apr,2,69,S3,fringe,Sapling,170,Primary,18.345567,-64.692527,A,A,H,0.002669015,0.184162063,0.1,0.002669015,0.184162063,0.1,54.4,0,B,0,23,8,0,0,Y,HERBIVORY (BITES)
LU,Water,August,23-Aug,3,143,S3,fringe,Sapling,170,Primary,18.345567,-64.692527,A,A,H,0.021893392,3.130755064,1.7,0.020567668,2.941176471,1.6,56,14,B,0,22,7,0,0,Y,
LU,Water,August,23-Aug,3,143,S3,fringe,Sapling,185,Primary,18.345569,-64.692541,A,A,H,-0.026584985,-3.801652893,-2.3,-0.027695077,-3.96039604,-2.4,58.2,12.3,YB,0,21,1,0,0,Y,HERBIVORY
LU,Water,February,24-Feb,4,174,S3,fringe,Sapling,185,Primary,18.345569,-64.692541,A,A,W,-0.02184858,-3.801652893,-2.3,0,0,0,58.2,0,YB,0,21,0,0,0,Y,BROWSE
LU,Water,February,24-Feb,4,174,S3,fringe,Sapling,170,Primary,18.345567,-64.692527,A,A,H,0.041277704,7.182320442,3.9,0.022577997,3.928571429,2.2,58.2,0,B,0,26,9,0,0,Y,SOME LEAF SPOTS
LU,Water,January,23-Jan,1,0,S3,fringe,Sapling,185,Primary,18.345569,-64.692541,A,A,H,0,0,0,0,0,0,60.5,1,YG,0,19,7,0,0,Y,INSECT BITES
LU,Water,April,23-Apr,2,69,S3,fringe,Sapling,185,Primary,18.345569,-64.692541,A,A,H,0.002395496,0.165289256,0.1,0.002395496,0.165289256,0.1,60.6,0,YB,0,21,9,0,0,Y,
LU,Otter,April,23-Apr,2,69,S1,fringe,Seedling,126,Primary,18.349735,-64.691077,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WAS NOT IN BENTHIC QUADRAT ANYMORE, MUST HAVE WASHED AWAY. NEED TO PULL TAG"
LU,Otter,April,23-Apr,2,69,S1,fringe,Seedling,530,Primary,18.349731,-64.691111,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Otter,April,23-Apr,2,69,S1,fringe,Seedling,596,Primary,18.349744,-64.691086,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Water,April,23-Apr,2,69,S1,fringe,Seedling,513,Primary,18.350259,-64.684177,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Water,April,23-Apr,2,69,S2,fringe,Seedling,176,Primary,18.3481,-64.689844,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Water,April,23-Apr,2,69,U3,debris,Seedling,178,Primary,18.3452,-64.69072,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CNL = COULD NOT LOCATE
LU,Water,August,23-Aug,3,143,S3,fringe,Seedling,195,Secondary,18.345543,-64.692566,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CNL = COULD NOT LOCATE
LU,Water,August,23-Aug,3,143,U3,debris,Seedling,162,Secondary,18.345204,-64.690679,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CNL = COULD NOT LOCATE
LU,Water,August,23-Aug,3,143,U3,debris,Seedling,178,Primary,18.3452,-64.69072,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CNL = COULD NOT LOCATE
LU,Water,August,23-Aug,3,143,U3,debris,Seedling,597,Primary,18.345196,-64.69076,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CNL = COULD NOT LOCATE
LU,Water,August,23-Aug,3,143,S2,fringe,Seedling,176,Primary,18.3481,-64.689844,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,removed tag
LU,Water,August,23-Aug,3,143,S1,fringe,Seedling,513,Primary,18.350259,-64.684177,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,removed tag
LU,Water,August,23-Aug,3,143,S1,fringe,Seedling,585,Primary,18.350245,-64.689141,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,removed tag
LU,Water,August,23-Aug,3,143,S1,fringe,Seedling,575,Secondary,18.350267,-64.689143,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,removed tag
LU,Otter,August,23-Aug,3,143,S1,fringe,Seedling,596,Primary,18.349744,-64.691086,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,removed tag
LU,Otter,August,23-Aug,3,143,S1,fringe,Seedling,530,Primary,18.349731,-64.691111,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,removed tag
LU,Otter,August,23-Aug,3,143,U3,debris,Seedling,466,Secondary,18.351575,-64.691086,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CNL = COULD NOT LOCATE
LU,Otter,August,23-Aug,3,143,U3,debris,Seedling,481,Secondary,18.3516,-64.691102,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CNL = COULD NOT LOCATE
LU,Otter,August,24-Feb,3,143,S1,fringe,Seedling,121,Primary,18.349702,-64.691088,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,need to remove tag
LU,Water,February,24-Feb,4,174,S3,fringe,Seedling,195,Secondary,18.345543,-64.692566,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Water,February,24-Feb,4,174,U3,debris,Seedling,162,Secondary,18.345204,-64.690679,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Water,February,24-Feb,4,174,U3,debris,Seedling,178,Primary,18.3452,-64.69072,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Water,February,24-Feb,4,174,U3,debris,Seedling,597,Primary,18.345196,-64.69076,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Water,February,24-Feb,4,174,S1,fringe,Seedling,575,Secondary,18.350267,-64.689143,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Water,February,24-Feb,4,174,U1,debris,Seedling,471,Secondary,18.350015,-64.689327,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Water,February,24-Feb,4,174,U1,debris,Seedling,433,Secondary,18.349985,-64.689303,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Otter,February,24-Feb,4,174,U1,debris,Seedling,532,Primary,18.34942,-64.692474,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Otter,February,24-Feb,4,174,S1,fringe,Seedling,121,Primary,18.349702,-64.691088,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Otter,February,24-Feb,4,174,S1,fringe,Seedling,530,Primary,18.349731,-64.691111,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Otter,February,24-Feb,4,174,S1,fringe,Seedling,596,Primary,18.349744,-64.691086,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TAG WASHED UP ON SHORE
LU,Otter,February,24-Feb,4,174,U3,debris,Seedling,466,Secondary,18.351575,-64.691086,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LU,Otter,February,24-Feb,4,174,U3,debris,Seedling,481,Secondary,18.3516,-64.691102,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
